Smooth Loops,Parallelisim Type,Matrix Size,Nodes,MPI Tasks,Thread Pool,Accuracy,Time,CRC64,Parity,Speedup,Efficiency,SOPS,GSOPS/sec,Karp-Flatt,Overhead,Isoefficiency
2036,1,1024,2,15,1,0.0001,2.494536,06a8ad906dc8a3bb,cff0d5f929dc08e7,12.9806,0.8654,2.13E+09,0.85,0.0111,5.04,0.331
2036,1,1024,2,16,1,0.0001,2.36381,06a8ad906dc8a3bb,cff0d5f929dc08e7,13.6984,0.8562,2.13E+09,0.90,0.0112,5.44,0.303
2036,1,1024,2,17,1,0.0001,2.247254,06a8ad906dc8a3bb,cff0d5f929dc08e7,14.4089,0.8476,2.13E+09,0.95,0.0112,5.82,0.278
2036,1,1024,2,18,1,0.0001,2.152091,06a8ad906dc8a3bb,cff0d5f929dc08e7,15.0461,0.8359,2.13E+09,0.99,0.0115,6.36,0.253
2036,1,1024,2,19,1,0.0001,1.982969,06a8ad906dc8a3bb,cff0d5f929dc08e7,16.3293,0.8594,2.13E+09,1.07,0.0091,5.30,0.272
2036,1,1024,2,20,1,0.0001,1.921519,06a8ad906dc8a3bb,cff0d5f929dc08e7,16.8515,0.8426,2.13E+09,1.11,0.0098,6.05,0.241
2036,1,1024,2,21,1,0.0001,1.80966,06a8ad906dc8a3bb,cff0d5f929dc08e7,17.8931,0.8521,2.13E+09,1.18,0.0087,5.62,0.243
2036,1,1024,2,22,1,0.0001,1.797731,06a8ad906dc8a3bb,cff0d5f929dc08e7,18.0119,0.8187,2.13E+09,1.18,0.0105,7.17,0.200
2036,1,1024,2,23,1,0.0001,1.704712,06a8ad906dc8a3bb,cff0d5f929dc08e7,18.9947,0.8259,2.13E+09,1.25,0.0096,6.83,0.200
2036,1,1024,2,24,1,0.0001,1.662732,06a8ad906dc8a3bb,cff0d5f929dc08e7,19.4743,0.8114,2.13E+09,1.28,0.0101,7.53,0.181
2036,1,1024,2,25,1,0.0001,1.533178,06a8ad906dc8a3bb,cff0d5f929dc08e7,21.1199,0.8448,2.13E+09,1.39,0.0077,5.95,0.205
2036,1,1024,2,26,1,0.0001,1.546167,06a8ad906dc8a3bb,cff0d5f929dc08e7,20.9424,0.8055,2.13E+09,1.38,0.0097,7.82,0.165
2036,1,1024,2,27,1,0.0001,1.428486,06a8ad906dc8a3bb,cff0d5f929dc08e7,22.6677,0.8395,2.13E+09,1.49,0.0074,6.19,0.188
2036,1,1024,2,28,1,0.0001,1.385589,06a8ad906dc8a3bb,cff0d5f929dc08e7,23.3695,0.8346,2.13E+09,1.53,0.0073,6.42,0.178
2036,1,1024,2,29,1,0.0001,1.378704,06a8ad906dc8a3bb,cff0d5f929dc08e7,23.4862,0.8099,2.13E+09,1.54,0.0084,7.60,0.154
2036,1,1024,2,30,1,0.0001,1.309648,06a8ad906dc8a3bb,cff0d5f929dc08e7,24.7246,0.8242,2.13E+09,1.62,0.0074,6.91,0.159
2036,1,1024,2,31,1,0.0001,1.28124,06a8ad906dc8a3bb,cff0d5f929dc08e7,25.2728,0.8153,2.13E+09,1.66,0.0076,7.34,0.149
2036,1,1024,2,32,1,0.0001,1.240287,06a8ad906dc8a3bb,cff0d5f929dc08e7,26.1073,0.8159,2.13E+09,1.71,0.0073,7.31,0.145
2036,0,1024,3,1,1,0.0001,32.381938,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.0000,1.0000,2.13E+09,0.07,n/a,0.00,1.000
2036,1,1024,3,1,1,0.0001,32.40934,06a8ad906dc8a3bb,cff0d5f929dc08e7,0.9991,0.9991,2.13E+09,0.07,n/a,0.03,0.999
2036,1,1024,3,2,1,0.0001,17.257678,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.8763,0.9381,2.13E+09,0.12,0.0659,2.13,0.890
2036,1,1024,3,3,1,0.0001,11.663006,06a8ad906dc8a3bb,cff0d5f929dc08e7,2.7763,0.9254,2.13E+09,0.18,0.0403,2.61,0.817
2036,1,1024,3,4,1,0.0001,8.925371,06a8ad906dc8a3bb,cff0d5f929dc08e7,3.6279,0.9070,2.13E+09,0.24,0.0342,3.32,0.729
2036,1,1024,3,5,1,0.0001,7.136499,06a8ad906dc8a3bb,cff0d5f929dc08e7,4.5373,0.9075,2.13E+09,0.30,0.0255,3.30,0.684
2036,1,1024,3,6,1,0.0001,5.960176,06a8ad906dc8a3bb,cff0d5f929dc08e7,5.4328,0.9055,2.13E+09,0.36,0.0209,3.38,0.638
2036,1,1024,3,7,1,0.0001,5.16546,06a8ad906dc8a3bb,cff0d5f929dc08e7,6.2687,0.8955,2.13E+09,0.41,0.0194,3.78,0.578
2036,1,1024,3,8,1,0.0001,4.544104,06a8ad906dc8a3bb,cff0d5f929dc08e7,7.1258,0.8907,2.13E+09,0.47,0.0175,3.97,0.534
